C9orf152	NM_001012993	hypothetical protein LOC401546
GPATCH3	NM_022078	G patch domain containing 3
AGL	NM_000646/NM_000642/NM_000644/NM_000643/NM_000645/NM_000028	amylo-1, 6-glucosidase,
QRICH2	NM_032134	glutamine rich 2
PSD4	NM_012455	pleckstrin and Sec7 domain containing 4
CCNB1IP1	NM_182852/NM_182849/NM_021178/NM_182851	cyclin B1 interacting protein 1 isoform 4/cyclin B1 interacting protein 1 isoform 2/cyclin B1 interacting protein 1 isoform 1/cyclin B1 interacting protein 1 isoform 3
LOC100124692	NR_003717
ENPP7	NM_178543	ectonucleotide pyrophosphatase/phosphodiesterase
KCNG3	NM_133329/NM_172344	potassium voltage-gated channel, subfamily G,
OBFC1	NM_024928	oligonucleotide/oligosaccharide-binding fold
ENPEP	NM_001977	glutamyl aminopeptidase (aminopeptidase A)
C14orf79	NM_174891	hypothetical protein LOC122616
GIYD1	NM_001015000/NM_001014999	GIY-YIG domain containing 1 isoform 2/GIY-YIG domain containing 1 isoform 1
SCT	NM_021920	secretin preproprotein
SKI	NM_003036	v-ski sarcoma viral oncogene homolog
SHISA4	NM_198149	shisa homolog 4
SEC61G	NM_001012456/NM_014302	Sec61 gamma subunit
CAPN11	NM_007058	calpain 11
ATXN7L3	NM_020218/NM_001098833	ataxin 7-like 3 isoform a/ataxin 7-like 3 isoform b
SNORA1	NR_003026
FAIM	NM_001033031/NM_001033032/NM_001033030/NM_018147	Fas apoptotic inhibitory molecule isoform b/Fas apoptotic inhibitory molecule isoform c/Fas apoptotic inhibitory molecule isoform a
DBNDD1	NM_001042610/NM_024043	dysbindin (dystrobrevin binding protein 1)
ANKRD36	NM_198555	ankyrin repeat domain 36
GABRP	NM_014211	gamma-aminobutyric acid (GABA) A receptor, pi
TACSTD2	NM_002353	tumor-associated calcium signal transducer 2
EIF3J	NM_003758	eukaryotic translation initiation factor 3,
PPP2R2A	NM_002717	alpha isoform of regulatory subunit B55, protein
ZNF541	NM_001101419	zinc finger protein 541
TEKT4	NM_144705	tektin 4
PVALB	NM_002854	parvalbumin
F10	NM_000504	coagulation factor X preproprotein
FAM134C	NM_178126	hypothetical protein LOC162427
COMP	NM_000095	cartilage oligomeric matrix protein precursor
SCLT1	NM_144643	sodium channel associated protein 1
TAL1	NM_003189	T-cell acute lymphocytic leukemia 1
LOC493754	NR_002933
ACSL1	NM_001995	acyl-CoA synthetase long-chain family member 1
ABCC5	NM_001023587/NM_005688	ATP-binding cassette, sub-family C, member 5
RBBP7	NM_002893	retinoblastoma binding protein 7
ABL1	NM_007313/NM_005157	v-abl Abelson murine leukemia viral oncogene
PTPRG	NM_002841	protein tyrosine phosphatase, receptor type, G
NCOR1	NM_006311	nuclear receptor co-repressor 1
SPINK4	NM_014471	serine peptidase inhibitor, Kazal type 4
TXNRD1	NM_182729/NM_182742/NM_182743/NM_003330/NM_001093771	thioredoxin reductase 1 isoform 2/thioredoxin reductase 1 isoform 1/thioredoxin reductase 1 isoform 3
BRDT	NM_001726/NM_207189	testis-specific bromodomain protein
UBE2H	NM_182697/NM_003344	ubiquitin-conjugating enzyme E2H isoform 2/ubiquitin-conjugating enzyme E2H isoform 1
C8orf31	NM_173687	hypothetical protein LOC286122
FAM156A	NM_014138	family with sequence similarity 156, member A
LRRC26	NM_001013653	leucine rich repeat containing 26
CCNE2	NM_057749	cyclin E2
CALCR	NM_001742	calcitonin receptor
SLC6A8	NM_005629	solute carrier family 6 member 8
LOC440396	NR_002943
PPP1CB	NM_206876/NM_002709	protein phosphatase 1, catalytic subunit, beta
ABHD8	NM_024527	abhydrolase domain containing 8
ARF5	NM_001662	ADP-ribosylation factor 5
SLC24A4	NM_153646/NM_153647/NM_153648	solute carrier family 24 member 4 isoform 1/solute carrier family 24 member 4 isoform 2/solute carrier family 24 member 4 isoform 3
FLJ32682	NM_182542	hypothetical protein LOC220081
CCT3	NM_005998/NM_001008800/NM_001008883	chaperonin containing TCP1, subunit 3 isoform a/chaperonin containing TCP1, subunit 3 isoform c/chaperonin containing TCP1, subunit 3 isoform b
OR13A1	NM_001004297	olfactory receptor, family 13, subfamily A,
ZNF121	NM_001008727	zinc finger protein 121
SLC3A2	NM_001013251/NM_001012663/NM_001012661/NM_001012664/NM_002394/NM_001012662	solute carrier family 3 (activators of dibasic
SLC5A10	NM_001042450/NM_152351	solute carrier family 5 (sodium/glucose
RAD50	NM_005732/NM_133482	RAD50 homolog isoform 1/RAD50 homolog isoform 2
IER5	NM_016545	immediate early response 5
SNORD113-6	NR_003234
MTHFD1L	NM_015440	methylenetetrahydrofolate dehydrogenase (NADP+
MBTPS2	NM_015884	membrane-bound transcription factor peptidase,
MVK	NM_001114185/NM_000431	mevalonate kinase
RBMY1E	NM_001006118	RNA binding motif protein, Y-linked, family 1,
NCL	NM_005381	nucleolin
MOBP	NM_182935/NR_003090	myelin-associated oligodendrocyte basic protein
PSMD10	NM_002814/NM_170750	proteasome 26S non-ATPase subunit 10 isoform 1/proteasome 26S non-ATPase subunit 10 isform 2
LOC150786	NM_001077637	RAB6C-like
KRTAP5-3	NM_001012708	keratin associated protein 5-3
HRH1	NM_001098212/NM_001098211/NM_000861/NM_001098213	histamine receptor H1
HCG18	NR_024052/NR_024053
C5orf30	NM_033211	hypothetical protein LOC90355
SPANXA1	NM_013453	sperm protein associated with the nucleus, X
RASGRP3	NM_170672	RAS guanyl releasing protein 3 (calcium and
NUDT16L1	NM_032349	syndesmos
PRKRIP1	NM_024653	PRKR interacting protein 1 (IL11 inducible)
CCDC75	NM_174931	coiled-coil domain containing 75
FBXO47	NM_001008777	F-box protein 47
MED21	NM_004264	mediator complex subunit 21
SYT11	NM_152280	synaptotagmin XI
NTSR2	NM_012344	neurotensin receptor 2
OR2A25	NM_001004488	olfactory receptor, family 2, subfamily A,
CXorf59	NM_173695	hypothetical protein LOC286464
SPTBN2	NM_006946	spectrin, beta, non-erythrocytic 2
LRMP	NM_006152	lymphoid-restricted membrane protein
KLHL31	NM_001003760	kelch repeat and BTB (POZ) domain containing 1
LOC388910	NM_001012986	hypothetical protein LOC388910
RNF111	NM_017610	ring finger protein 111
C17orf98	NM_001080465	hypothetical protein LOC388381
PTH	NM_000315	parathyroid hormone preproprotein
KIAA0895	NM_015314/NM_001100425	hypothetical protein LOC23366 isoform 2/hypothetical protein LOC23366 isoform 1
P2RY10	NM_198333/NM_014499	G-protein coupled purinergic receptor P2Y10
NME5	NM_003551	non-metastatic cells 5, protein expressed in
DDX21	NM_004728	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
LRSAM1	NM_138361/NM_001005373/NM_001005374	leucine rich repeat and sterile alpha motif
HDAC11	NM_024827/NM_001136041	histone deacetylase 11 isoform 2/histone deacetylase 11 isoform 1
VMO1	NM_182566	vitelline membrane outer layer 1
MTO1	NM_012123/NM_133645/NM_001123226	mitochondrial translation optimization 1 homolog
ADAR	NM_001025107/NM_001111/NM_015840/NM_015841	adenosine deaminase, RNA-specific isoform d/adenosine deaminase, RNA-specific isoform a/adenosine deaminase, RNA-specific isoform b/adenosine deaminase, RNA-specific isoform c
SF4	NM_172231	splicing factor 4
P2RX1	NM_002558	purinergic receptor P2X1
HBM	NM_001003938	hemoglobin mu chain
EN2	NM_001427	engrailed homeobox 2
HBII-52-27	NR_003496
C14orf172	NM_152307	tRNA(m1A58)-methyltransferase subunit TRM61
TM9SF2	NM_004800	transmembrane 9 superfamily member 2
INHBE	NM_031479	activin beta E
TCTE3	NM_174910	t-complex-associated-testis-expressed 3
TOX2	NM_001098796/NM_001098798/NM_001098797/NM_032883	TOX high mobility group box family member 2
HBB	NM_000518	beta globin
MED15	NM_001003891/NM_015889	mediator complex subunit 15 isoform a/mediator complex subunit 15 isoform b
A26B2	NM_001137671	ANKRD26-like family B, member 2
CASR	NM_000388	calcium-sensing receptor
MTPN	NM_145808	myotrophin
C6orf66	NM_014165	hormone-regulated proliferation-associated 20
UNC50	NM_014044	unc-50 homolog
C21orf33	NM_004649/NM_198155	es1 protein isoform Ia precursor/es1 protein isoform Ib precursor
IRF2	NM_002199	interferon regulatory factor 2
PGR	NM_000926	progesterone receptor
GPR84	NM_020370	G protein-coupled receptor 84
SRPX	NM_006307	sushi-repeat-containing protein, X-linked
BRE	NM_199194/NM_004899/NM_199192/NM_199193/NM_199191	brain and reproductive organ-expressed (TNFRSF1A
FGF10	NM_004465	fibroblast growth factor 10 precursor
SDC3	NM_014654	syndecan 3
LOC100134869	NR_004847
TMEM218	NM_001080546	transmembrane protein 218
DKFZP434P211	NR_003714
SOX6	NM_033326/NM_017508	SRY (sex determining region Y)-box 6 isoform 2/SRY (sex determining region Y)-box 6 isoform 1
RPUSD2	NM_152260	RNA pseudouridylate synthase domain containing
MAPK11	NM_002751	mitogen-activated protein kinase 11
TBC1D22A	NM_014346	TBC1 domain family, member 22A
FAM123A	NM_199138/NM_152704	hypothetical protein LOC219287 isoform 2/hypothetical protein LOC219287 isoform 1
COL4A6	NM_033641/NM_001847	type IV alpha 6 collagen isoform B precursor/type IV alpha 6 collagen isoform A precursor
TOMM70A	NM_014820	translocase of outer mitochondrial membrane 70
NAB1	NM_005966	NGFI-A binding protein 1
MGC16385	NM_145039	hypothetical protein LOC92806
TSPAN18	NM_001031730/NM_130783	tetraspanin 18 isoform 1/tetraspanin 18 isoform 2
MED31	NM_016060	mediator of RNA polymerase II transcription,
PLG	NM_000301	plasminogen
ZNF532	NM_018181	zinc finger protein 532
CAPSL	NM_144647/NM_001042625	calcyphosine-like
ASB14	NM_130387	ankyrin repeat and SOCS box-containing 14
CA8	NM_004056	carbonic anhydrase VIII
NUDT16P	NR_002949
FBLN7	NM_153214/NM_001128165	fibulin 7 isoform 1/fibulin 7 isoform 2
POLR2J3	NM_001097615	polymerase (RNA) II (DNA directed) polypeptide
SLFN11	NM_152270/NM_001104587/NM_001104590/NM_001104588/NM_001104589	schlafen family member 11
PAR-SN	NR_022011
NOL7	NM_016167	nucleolar protein 7, 27kDa
BRMS1L	NM_032352	breast cancer metastasis-suppressor 1-like
JARID1A	NM_005056/NM_001042603	retinoblastoma binding protein 2 isoform 2/retinoblastoma binding protein 2 isoform 1
PANK2	NM_153638/NM_024960/NM_153640	pantothenate kinase 2 isoform 1 preproprotein/pantothenate kinase 2 isoform 2
ICAM3	NM_002162	intercellular adhesion molecule 3 precursor
MDS1	NM_004991	myelodysplasia syndrome protein 1
TAF8	NM_138572	TBP-associated factor 8
RNF139	NM_007218	ring finger protein 139
ZNF594	NM_032530	zinc finger protein 594
ADAM8	NM_001109	ADAM metallopeptidase domain 8 precursor
SFTPC	NM_003018	surfactant, pulmonary-associated protein C
MAN2B2	NM_015274	mannosidase, alpha, class 2B, member 2
RGS12	NM_198229/NM_002926/NM_198227	regulator of G-protein signalling 12 isoform 1/regulator of G-protein signalling 12 isoform 2/regulator of G-protein signalling 12 isoform 3
EIF1AY	NM_004681	eukaryotic translation initiation factor 1A, Y
LRRIQ1	NM_001079910/NM_032165	leucine-rich repeats and IQ motif containing 1
GPR150	NM_199243	G protein-coupled receptor 150
CCDC21	NM_022778	coiled-coil domain containing 21
PRRG3	NM_024082	proline rich Gla (G-carboxyglutamic acid) 3
RAPGEF5	NM_012294	Rap guanine nucleotide exchange factor (GEF) 5
SAA4	NM_006512	serum amyloid A4, constitutive
ZCCHC2	NM_017742	zinc finger, CCHC domain containing 2
ACAP2	NM_012287	centaurin, beta 2
PPP4R2	NM_174907	protein phosphatase 4, regulatory subunit 2
CDCA2	NM_152562	cell division cycle associated 2
C1orf194	NM_001122961	hypothetical protein LOC127003
PTGFRN	NM_020440	prostaglandin F2 receptor negative regulator
OR4D5	NM_001001965	olfactory receptor, family 4, subfamily D,
SIGLEC5	NM_003830	sialic acid binding Ig-like lectin 5
LRRN4CL	NM_203422	LRRN4 C-terminal like
C19orf61	NM_019108	hypothetical protein LOC56006
NMUR2	NM_020167	neuromedin U receptor 2
DAGLA	NM_006133	neural stem cell-derived dendrite regulator
KIAA1586	NM_020931	hypothetical protein LOC57691
NEUROD6	NM_022728	neurogenic differentiation 6
GPR32	NM_001506	G protein-coupled receptor 32
CHCHD6	NM_032343	coiled-coil-helix-coiled-coil-helix domain
SLC2A4RG	NM_020062	SLC2A4 regulator
FBXL3	NM_012158	F-box and leucine-rich repeat protein 3
CA5B	NM_007220	carbonic anhydrase VB, mitochondrial precursor
MPHOSPH9	NM_022782	M-phase phosphoprotein 9
HMG2L1	NM_014250/NM_001003681/NM_005487	high-mobility group protein 2-like 1 isoform a/high-mobility group protein 2-like 1 isoform b
HCN4	NM_005477	hyperpolarization activated cyclic
CEACAM19	NM_020219/NM_001127893	carcinoembryonic antigen-related cell adhesion
SH2D4B	NM_207372	SH2 domain containing 4B
HFE2	NM_213652/NM_145277/NM_213653/NM_202004	hemojuvelin isoform c/hemojuvelin isoform b/hemojuvelin isoform a precursor
TGM4	NM_003241	transglutaminase 4 (prostate)
TBC1D15	NM_022771	TBC1 domain family, member 15
LYPD2	NM_205545	LY6/PLAUR domain containing 2
FAM168A	NM_015159	hypothetical protein LOC23201
ZNF830	NM_052857	coiled-coil domain containing 16
MRPS21	NM_031901/NM_018997	mitochondrial ribosomal protein S21
NONO	NM_007363	non-POU domain containing, octamer-binding
CLEC5A	NM_013252	C-type lectin, superfamily member 5
ITCH	NM_031483	itchy homolog E3 ubiquitin protein ligase
MGAT3	NM_002409/NM_001098270	mannosyl (beta-1,4-)-glycoprotein
MBP	NM_001025100/NM_001025090/NM_001025101/NM_001025081/NM_001025092/NM_002385	Golli-mbp isoform 2/myelin basic protein isoform 3/Golli-mbp isoform 1/myelin basic protein isoform 1/myelin basic protein isoform 4/myelin basic protein isoform 2
RPP25	NM_017793	ribonuclease P 25kDa subunit
SOSTDC1	NM_015464	sclerostin domain containing 1 precursor
HRC	NM_002152	histidine rich calcium binding protein
LRRC67	NM_001013626	leucine rich repeat containing 67
TRIM48	NM_024114	tripartite motif-containing 48
TMEM133	NM_032021	transmembrane protein 133
LOC731779	NR_024441
HOXC11	NM_014212	homeobox C11
DOK5	NM_018431	docking protein 5
HELZ	NM_014877	helicase with zinc finger domain
MGC33894	NM_152914	transcript expressed during hematopoiesis 2
ADRB3	NM_000025	adrenergic, beta-3-, receptor
MPEG1	NM_001039396	macrophage expressed gene 1
PTRH2	NM_016077	Bcl-2 inhibitor of transcription
DMD	NM_004019/NM_004020/NM_004021/NM_004009/NM_004022/NM_004023/NM_004010/NM_000109/NM_004007/NM_004011/NM_004012/NM_004015/NM_004016/NM_004017/NM_004018/NM_004006/NM_004013/NM_004014	dystrophin Dp40 isoform/dystrophin Dp140c isoform/dystrophin Dp140b isoform/dystrophin Dp427p1 isoform/dystrophin Dp140ab isoform/dystrophin Dp140bc isoform/dystrophin Dp427p2 isoform/dystrophin Dp427c isoform/dystrophin Dp427l isoform/dystrophin Dp260-1 isoform/dystrophin Dp260-2 isoform/dystrophin Dp71 isoform/dystrophin Dp71b isoform/dystrophin Dp71a isoform/dystrophin Dp71ab isoform/dystrophin Dp427m isoform/dystrophin Dp140 isoform/dystrophin Dp116 isoform
NDUFA12	NM_018838	13kDa differentiation-associated protein
KRTAP2-4	NM_033184	keratin associated protein 2-4
ADCY2	NM_020546	adenylate cyclase 2
STAMBPL1	NM_020799	STAM binding protein-like 1
KLHL20	NM_014458	kelch-like 20
SRM	NM_003132	spermidine synthase
OTC	NM_000531	ornithine carbamoyltransferase precursor
TMIE	NM_147196	transmembrane inner ear protein
LIPK	NM_001080518	lipase, family member K
SNX8	NM_013321	sorting nexin 8
CHURC1	NM_145165	churchill domain containing 1
ANKRD20A4	NM_001098805	ankyrin repeat domain 20 family, member A4
KLC2	NM_022822/NM_001134774/NM_001134775/NM_001134776	kinesin light chain 2 isoform 1/kinesin light chain 2 isoform 2
HDAC1	NM_004964	histone deacetylase 1
ELMOD3	NM_032213/NM_001135021/NM_001135022/NM_001135023	ELMO/CED-12 domain containing 3 isoform a/ELMO/CED-12 domain containing 3 isoform b
FAM128A	NM_001085365	hypothetical protein LOC653784
FNDC3B	NM_022763/NM_001135095	fibronectin type III domain containing 3B
MTCP1	NM_001018025/NM_001018024/NM_014221	mature T-cell proliferation 1 isoform p13/mature T-cell proliferation 1 isoform p8
SNORD96B	NR_004379
JAKMIP3	NM_001105521	janus kinase and microtubule interacting protein
WFDC10B	NM_172131/NM_172006	WAP four-disulfide core domain 10B isoform b/WAP four-disulfide core domain 10B isoform a
PCDHGB3	NM_018924/NM_032097	protocadherin gamma subfamily B, 3 isoform 1/protocadherin gamma subfamily B, 3 isoform 2
ATRNL1	NM_207303	attractin-like 1
CAV2	NM_001233/NM_198212	caveolin 2 isoform a and b/caveolin 2 isoform c
MED26	NM_004831	mediator complex subunit 26
DUS1L	NM_022156	PP3111 protein
NEK9	NM_033116	NIMA related kinase 9
CHRM3	NM_000740	cholinergic receptor, muscarinic 3
USP50	NM_203494	ubiquitin specific protease 50
WARS2	NM_201263/NM_015836	mitochondrial tryptophanyl tRNA synthetase 2
RIMKLA	NM_173642	family with sequence similarity 80, member A
LOC647946	NR_024391
ASF1A	NM_014034	ASF1 anti-silencing function 1 homolog A
TBX22	NM_001109878/NM_001109879/NM_016954	T-box 22 isoform 1/T-box 22 isoform 2
TOMM40	NM_006114/NM_001128916/NM_001128917	translocase of outer mitochondrial membrane 40
TUBGCP5	NM_001102610/NM_052903	tubulin, gamma complex associated protein 5
IGSF6	NM_005849	immunoglobulin superfamily, member 6
TPPP	NM_007030	tubulin polymerization promoting protein
SNORD115-29	NR_003344
GSTM5	NM_000851	glutathione S-transferase M5
BTD	NM_000060	biotinidase precursor
PDCD1LG2	NM_025239	programmed cell death 1 ligand 2
MBOAT7	NM_024298	leukocyte receptor cluster (LRC) member 4
SNRPB2	NM_003092/NM_198220	small nuclear ribonucleoprotein polypeptide B''
ERICH1	NM_207332	glutamate-rich 1
APOA4	NM_000482	apolipoprotein A-IV precursor
KRTAP19-8	NM_001099219	keratin associated protein 19-8
HOXA11	NM_005523	homeobox A11
LOC389435	NM_001089587	hypothetical protein LOC389435
NARG1	NM_057175	NMDA receptor regulated 1
MKX	NM_173576	mohawk homeobox
RAB28	NM_004249/NM_001017979	RAB28, member RAS oncogene family isoform 2/RAB28, member RAS oncogene family isoform 1
OR2M3	NM_001004689	olfactory receptor, family 2, subfamily M,
PKP3	NM_007183	plakophilin 3
CTSO	NM_001334	cathepsin O preproprotein
SH3GL2	NM_003026	SH3-domain GRB2-like 2
RPN2	NM_002951/NM_001135771	ribophorin II isoform 1 precursor/ribophorin II isoform 2 precursor
IL28RA	NM_170743/NM_173064/NM_173065	interleukin 28 receptor, alpha isoform 1/interleukin 28 receptor, alpha isoform 2/interleukin 28 receptor, alpha isoform 3
SFMBT1	NM_001005159/NM_016329/NM_001005158	Scm-like with four mbt domains 1
FER1L3	NM_013451/NM_133337	myoferlin isoform a/myoferlin isoform b
FLJ43390	NR_015358
HSF5	NM_001080439	heat shock transcription factor family member 5
TTC9B	NM_152479	tetratricopeptide repeat domain 9B
SNAR-A10	NR_024229
SORBS3	NM_001018003/NM_005775	sorbin and SH3 domain containing 3 isoform 2/sorbin and SH3 domain containing 3 isoform 1
UPF2	NM_080599/NM_015542	UPF2 regulator of nonsense transcripts homolog
ALB	NM_000477	albumin preproprotein
C4BPA	NM_000715	complement component 4 binding protein, alpha
JPH1	NM_020647	junctophilin 1
AGBL2	NM_024783	carboxypeptidase 2, cytosolic
DOPEY1	NM_015018	dopey family member 1
TERF1	NM_017489/NM_003218	telomeric repeat binding factor 1 isoform 1/telomeric repeat binding factor 1 isoform 2
KIF22	NM_007317	kinesin family member 22
ACTBL2	NM_001017992	actin, beta-like 2
NINJ1	NM_004148	ninjurin 1
SNORD32A	NR_000021
SEC61A2	NM_018144	Sec61 alpha form 2
ZNF703	NM_025069	zinc finger protein 703
SFXN4	NM_213649	sideroflexin 4
HIST1H1D	NM_005320	histone cluster 1, H1d
UCP3	NM_003356/NM_022803	uncoupling protein 3 isoform UCP3L/uncoupling protein 3 isoform UCP3S
MYL6B	NM_002475	smooth muscle and non-muscle myosin alkali light
TREM1	NM_018643	triggering receptor expressed on myeloid cells
LOC253039	NR_024408
SNORD116-8	NR_003323
OR52E6	NM_001005167	olfactory receptor, family 52, subfamily E,
VAMP7	NM_005638	vesicle-associated membrane protein 7
CKMT2	NM_001825/NM_001099735/NM_001099736	sarcomeric mitochondrial creatine kinase
HLA-C	NM_002117	major histocompatibility complex, class I, C
SLC13A3	NM_022829/NM_001011554	solute carrier family 13 member 3 isoform a/solute carrier family 13 member 3 isoform b
N4BP2L1	NM_052818/NM_001079691	NEDD4 binding protein 2-like 1 isoform 1/NEDD4 binding protein 2-like 1 isoform 2
TIMP4	NM_003256	tissue inhibitor of metalloproteinase 4
SLIT2	NM_004787	slit homolog 2
RSF1	NM_016578	remodeling and spacing factor 1
MYLK3	NM_182493	myosin light chain kinase 3
LONRF1	NM_152271	LON peptidase N-terminal domain and ring finger
MON1A	NM_032355	MON1 homolog A
CACNG6	NM_031897/NM_145814/NM_145815	voltage-dependent calcium channel gamma-6
FLJ42875	NR_015440/NR_024371
LRIT3	NM_198506	leucine-rich repeat, immunoglobulin-like and
DPPA4	NM_018189	developmental pluripotency associated 4
ZSWIM3	NM_080752	zinc finger, SWIM domain containing 3
ZNF804A	NM_194250	zinc finger protein 804A
CCIN	NM_005893	calicin
SLC25A31	NM_031291	solute carrier family 25 (mitochondrial carrier;
KCNMB4	NM_014505	calcium-activated potassium channel beta 4
RABL5	NM_022777/NM_001130820/NM_001130821/NM_001130822	RAB, member RAS oncogene family-like 5 isoform
CGB8	NM_033183	chorionic gonadotropin, beta polypeptide 8
GALNS	NM_000512	galactosamine (N-acetyl)-6-sulfate sulfatase
HIST1H1C	NM_005319	histone cluster 1, H1c
STX6	NM_005819	syntaxin 6
CIDEB	NM_014430	cell death-inducing DFFA-like effector b
KRTAP9-9	NM_030975	keratin associated protein 9-9
CASP4	NM_001225/NM_033306	caspase 4 isoform alpha precursor/caspase 4 isoform gamma precursor
PDK3	NM_005391	pyruvate dehydrogenase kinase, isozyme 3
KCNJ11	NM_000525	potassium inwardly-rectifying channel J11
TPR	NM_003292	nuclear pore complex-associated protein TPR
MTX2	NM_006554/NM_001006635	metaxin 2 isoform a/metaxin 2 isoform b
ZSCAN20	NM_145238	zinc finger protein 31
HIST1H2BH	NM_003524	histone cluster 1, H2bh
LOC283767	NM_001001413	hypothetical protein LOC283767
BRD3	NM_007371	bromodomain containing protein 3
LYRM7	NM_181705	Lyrm7 homolog
HIST1H2BO	NM_003527	histone cluster 1, H2bo
OR2T6	NM_001005471	olfactory receptor, family 2, subfamily T,
MAGEB10	NM_182506	melanoma antigen family B, 10
SERPINA3	NM_001085	serpin peptidase inhibitor, clade A, member 3
SLC45A1	NM_001080397	DNB5
HLA-DRB3	NM_022555	major histocompatibility complex, class II, DR
FBXO39	NM_153230	F-box protein 39
KCNJ16	NM_170742/NM_170741/NM_018658	potassium inwardly-rectifying channel J16
PABPC1L2B	NM_001042506	poly(A) binding protein, cytoplasmic 1-like 2B
KRT79	NM_175834	keratin 6L
FABP2	NM_000134	intestinal fatty acid binding protein 2
ZNF57	NM_173480	zinc finger protein 57
FBXL4	NM_012160	F-box and leucine-rich repeat protein 4
CLEC9A	NM_207345	C-type lectin domain family 9, member A
BMP2K	NM_017593/NM_198892	BMP-2 inducible kinase isoform b/BMP-2 inducible kinase isoform a
UGT8	NM_003360/NM_001128174	UDP glycosyltransferase 8 (UDP-galactose
MAPK4	NM_002747	mitogen-activated protein kinase 4
SLC25A23	NM_024103	solute carrier family 25, member 23
HINT1	NM_005340	histidine triad nucleotide binding protein 1
KRTAP13-1	NM_181599	keratin associated protein 13-1
SFXN5	NM_144579	sideroflexin 5
CHCHD2	NM_016139	coiled-coil-helix-coiled-coil-helix domain
FAM3D	NM_138805	family with sequence similarity 3, member D
NDP	NM_000266	norrin
SLC4A4	NM_003759/NM_001098484/NM_001134742	solute carrier family 4, sodium bicarbonate
RHOBTB1	NM_198225/NM_001032380/NM_014836	Rho-related BTB domain containing 1
TAS2R47	NM_001097643	type 2 taste receptor member 47
RPL38	NM_000999/NM_001035258	ribosomal protein L38
SUMO1P3	NR_002190
AP2A2	NM_012305	adaptor-related protein complex 2, alpha 2
ZBTB46	NM_025224	zinc finger and BTB domain containing 46
MAP7D1	NM_018067	MAP7 domain containing 1
AOX1	NM_001159	aldehyde oxidase 1
CYR61	NM_001554	cysteine-rich, angiogenic inducer, 61
JRKL	NM_003772	jerky homolog-like
DTNA	NM_001390/NM_032981/NM_032980/NM_001392/NM_032978/NM_032979/NM_032975/NM_001391/NM_001128175	dystrobrevin alpha isoform 1/dystrobrevin alpha isoform 8/dystrobrevin alpha isoform 6/dystrobrevin alpha isoform 7/dystrobrevin alpha isoform 4/dystrobrevin alpha isoform 5/dystrobrevin alpha isoform 2/dystrobrevin alpha isoform 3/dystrobrevin alpha isoform 9
C1orf86	NM_182533	hypothetical protein LOC199990
TMOD3	NM_014547	tropomodulin 3 (ubiquitous)
EEA1	NM_003566	early endosome antigen 1, 162kD
ADCK5	NM_174922	aarF domain containing kinase 5
IL1R1	NM_000877	interleukin 1 receptor, type I precursor
KLK3	NM_001648/NM_001030049/NM_001030050/NM_001030047/NM_001030048	prostate specific antigen isoform 1/prostate specific antigen isoform 5/prostate specific antigen isoform 6/prostate specific antigen isoform 3/prostate specific antigen isoform 4
HRSP12	NM_005836	heat-responsive protein 12
FABP9	NM_001080526	fatty acid binding protein 9, testis
KTN1	NM_182926/NM_001079521/NM_004986/NM_001079522	kinectin 1 isoform a/kinectin 1 isoform c/kinectin 1 isoform b
RELL2	NM_001130029/NM_173828	RELT-like 2
MAB21L1	NM_005584	mab-21-like protein 1
PHKB	NM_000293/NM_001031835	phosphorylase kinase, beta isoform a/phosphorylase kinase, beta isoform b
C20orf59	NM_022082	vesicular nucleotide transporter SLC17A9
ADAM2	NM_001464	ADAM metallopeptidase domain 2 proprotein
TBC1D8B	NM_198881/NM_017752	TBC1 domain family, member 8B (with GRAM domain)
FAM13A1	NM_014883/NM_001015045	family with sequence similarity 13, member A1
LAPTM4B	NM_018407	lysosomal associated transmembrane protein 4
LCN8	NM_178469	lipocalin 8
TMEM147	NM_032635	transmembrane protein 147
SYT4	NM_020783	synaptotagmin IV
GGT5	NM_004121/NM_001099781/NM_001099782	gamma-glutamyltransferase 5 isoform b/gamma-glutamyltransferase 5 isoform a/gamma-glutamyltransferase 5 isoform c
XPO7	NM_001100162/NM_001100161/NM_015024	exportin 7 isoform c/exportin 7 isoform a/exportin 7 isoform b
GPR75	NM_006794	G protein-coupled receptor 75
TRIM5	NM_033034/NM_033092/NM_033093	tripartite motif protein TRIM5 isoform alpha/tripartite motif protein TRIM5 isoform gamma/tripartite motif protein TRIM5 isoform delta
APOC1	NM_001645	apolipoprotein C-I precursor
RNASE4	NM_002937/NM_194431	ribonuclease, RNase A family, 4 precursor
ARHGAP11B	NM_001039841	Rho GTPase activating protein 11B
ARID1A	NM_006015/NM_139135	AT rich interactive domain 1A isoform a/AT rich interactive domain 1A isoform b
PARD6B	NM_032521	PAR-6 beta
TPD52L3	NM_033516/NM_001001874/NM_001001875	protein kinase NYD-SP25 isoform 1/protein kinase NYD-SP25 isoform 2/protein kinase NYD-SP25 isoform 3
RRAGB	NM_016656/NM_006064	Ras-related GTP binding B long isoform/Ras-related GTP binding B short isoform
RCN2	NM_002902	reticulocalbin 2, EF-hand calcium binding
HIST2H2BE	NM_003528	histone cluster 2, H2be
SLC38A11	NM_173512	solute carrier family 38, member 11
STARD7	NM_020151	START domain containing 7
SHMT2	NM_005412	serine hydroxymethyltransferase 2
