NM_000367	TPMT	thiopurine S-methyltransferase
NM_006178	NSF	N-ethylmaleimide-sensitive factor
NM_006216	SERPINE2	plasminogen activator inhibitor type 1, member
NM_006250	PRH1	proline-rich protein HaeIII subfamily 1
NM_006335	TIMM17A	translocase of inner mitochondrial membrane 17
NM_006313	USP15	ubiquitin specific protease 15
NM_006996	SLC19A2	solute carrier family 19, member 2
NM_006904	PRKDC	protein kinase, DNA-activated, catalytic
NM_006714	SMPDL3A	acid sphingomyelinase-like phosphodiesterase 3A
NM_006660	CLPX	ClpX caseinolytic protease X homolog
NM_006561	CUGBP2	CUG triplet repeat, RNA binding protein 2
NM_006500	MCAM	melanoma cell adhesion molecule
NM_006645	STARD10	START domain containing 10
NM_006642	SDCCAG8	serologically defined colon cancer antigen 8
NM_006502	POLH	polymerase (DNA directed), eta
NM_181505	PPP1R1B	protein phosphatase 1, regulatory (inhibitor)
NM_006607	PTTG2	pituitary tumor-transforming 2
NM_006663	PPP1R13L	protein phosphatase 1, regulatory (inhibitor)
NM_006512	SAA4	serum amyloid A4, constitutive
NM_021102	SPINT2	serine protease inhibitor, Kunitz type, 2
NM_006558	KHDRBS3	KH domain containing, RNA binding, signal
NM_030752	TCP1	T-complex protein 1 isoform a
NM_006564	CXCR6	G protein-coupled receptor TYMSTR
NM_006524	ZNF138	zinc finger protein 138
NM_006630	ZNF234	zinc finger protein 234
NM_006726	LRBA	LPS-responsive vesicle trafficking, beach and
NM_006869	CENTA1	centaurin, alpha 1
NM_006794	GPR75	G protein-coupled receptor 75
NM_006832	PLEKHC1	pleckstrin homology domain containing, family C
NM_006742	PSKH1	protein serine kinase H1
NM_006867	RBPMS	RNA-binding protein with multiple splicing
NM_006828	ASCC3	activating signal cointegrator 1 complex subunit
NM_006857	RY1	putative nucleic acid binding protein RY-1
NM_007041	ATE1	arginyltransferase 1 isoform 2
NM_007035	KERA	keratocan
NM_006893	LGTN	ligatin
NM_021097	SLC8A1	solute carrier family 8 (sodium/calcium
NM_006946	SPTBN2	spectrin, beta, non-erythrocytic 2
NM_007074	CORO1A	coronin, actin binding protein, 1A
NM_006955	ZNF11B	zinc finger protein 11B
NM_006973	ZNF32	zinc finger protein 32
NM_006974	ZNF33A	zinc finger protein 33a
NM_007272	CTRC	chymotrypsin C preproprotein
NM_007102	GUCA2B	guanylate cyclase activator 2B (uroguanylin)
NM_007261	CD300A	leukocyte membrane antigen
NM_007266	XAB1	XPA binding protein 1
NM_007225	NXPH3	neurexophilin 3
NM_007224	NXPH4	neurexophilin 4
NM_007280	OIP5	Opa interacting protein 5
NM_007162	TFEB	transcription factor EB
NM_153649	TPM3	tropomyosin 3
NM_007177	TU3A	downregulated in renal cell carcinoma
NM_007121	NR1H2	nuclear receptor subfamily 1, group H, member 2
NM_175569	XG	XG glycoprotein precursor
NM_007268	VSIG4	V-set and immunoglobulin domain containing 4
NM_007149	ZNF184	zinc finger protein 184 (Kruppel-like)
NM_021916	ZNF70	zinc finger protein 70
NM_007135	ZNF79	zinc finger protein 79 (pT7)
NM_007345	ZNF236	zinc finger protein 236
NM_007358	MTF2	metal response element-binding transcription
NM_007364	TMED3	transmembrane emp24 domain containing 3
NM_012068	ATF5	activating transcription factor 5
NM_012069	ATP1B4	ATPase, (Na+)/K+ transporting, beta 4
NM_012073	CCT5	chaperonin containing TCP1, subunit 5 (epsilon)
NM_012074	DPF3	D4, zinc and double PHD fingers, family 3
NM_012117	CBX5	chromobox homolog 5 (HP1 alpha homolog,
NM_012120	CD2AP	CD2-associated protein
NM_012126	CHST5	carbohydrate (N-acetylglucosamine 6-O)
NM_012182	FOXB1	forkhead box B1
NM_012186	FOXE3	forkhead box E3
NM_012202	GNG3	guanine nucleotide binding protein (G protein),
NM_012212	LTB4DH	NADP-dependent leukotriene B4
NM_012215	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
NM_012217	TPSD1	tryptase delta 1
NM_012222	MUTYH	mutY homolog
NM_012235	SCAP	SREBP cleavage-activating protein
NM_012236	SCMH1	sex comb on midleg homolog 1
NM_012242	DKK1	dickkopf homolog 1 precursor
NM_012272	HYPC	Huntingtin interacting protein C
NM_012302	LPHN2	latrophilin 2 precursor
NM_012305	AP2A2	adaptor-related protein complex 2, alpha 2
NM_012312	KIR2DS2	killer cell immunoglobulin-like receptor, two
NM_012319	SLC39A6	solute carrier family 39 (zinc transporter),
NM_012328	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
NM_012333	MYCBP	c-myc binding protein
NM_012334	MYO10	myosin X
NM_012377	OR7C2	olfactory receptor, family 7, subfamily C,
NM_012378	OR8B8	olfactory receptor, family 8, subfamily B,
NM_012385	P8	p8 protein (candidate of metastasis 1)
NM_012456	TIMM10	translocase of inner mitochondrial membrane 10
NM_012459	TIMM8B	translocase of inner mitochondrial membrane 8
NM_002217	ITIH3	inter-alpha (globulin) inhibitor H3
NM_002222	ITPR1	inositol 1,4,5-triphosphate receptor, type 1
NM_001547	IFIT2	interferon-induced protein with
NM_001552	IGFBP4	insulin-like growth factor binding protein 4
NM_001520	GTF3C1	general transcription factor IIIC, polypeptide
NM_001541	HSPB2	heat shock 27kDa protein 2
NM_001505	GPR30	G protein-coupled receptor 30
NM_001511	CXCL1	chemokine (C-X-C motif) ligand 1
NM_001456	FLNA	filamin 1 (actin-binding protein-280)
NM_001462	FPRL1	formyl peptide receptor-like 1
NM_001454	FOXJ1	forkhead box J1
NM_001439	EXTL2	exostoses (multiple)-like 2
NM_006494	ERF	Ets2 repressor factor
NM_001437	ESR2	estrogen receptor 2
NM_001423	EMP1	epithelial membrane protein 1
NM_001425	EMP3	epithelial membrane protein 3
NM_001378	DNCI2	dynein, cytoplasmic, intermediate polypeptide 2
NM_001371	DNAH8	dynein, axonemal, heavy polypeptide 8
NM_001375	DNASE2	deoxyribonuclease II, lysosomal precursor
NM_020548	DBI	diazepam binding inhibitor
NM_001369	DNAH5	dynein, axonemal, heavy polypeptide 5
NM_001327	CTAG1B	cancer/testis antigen 1-B
NM_001331	CTNND1	catenin (cadherin-associated protein), delta 1
NM_001293	CLNS1A	chloride channel, nucleotide-sensitive, 1A
NM_001298	CNGA3	cyclic nucleotide gated channel alpha 3
NM_001284	AP3S1	adaptor-related protein complex 3, sigma 1
NM_001290	LDB2	LIM domain binding 2
NM_001175	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
NM_001176	ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma
NM_001132	AFG3L1	AFG3 ATPase family gene 3-like 1
NM_020547	AMHR2	anti-Mullerian hormone receptor, type II
NM_000934	SERPINF2	alpha-2-plasmin inhibitor
NM_020469	ABO	ABO blood group (transferase A, alpha
NM_001043	SLC6A2	solute carrier family 6 member 2
NM_001047	SRD5A1	steroid-5-alpha-reductase 1
NM_000940	PON3	paraoxonase 3
NM_000941	POR	P450 (cytochrome) oxidoreductase
NM_000932	PLCB3	phospholipase C, beta 3
NM_000936	PNLIP	pancreatic lipase precursor
NM_000911	OPRD1	opioid receptor, delta 1
NM_024420	PLA2G4A	phospholipase A2, group IVA
NM_000889	ITGB7	integrin, beta 7
NM_000895	LTA4H	leukotriene A4 hydrolase
NM_000862	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta-
NM_000748	CHRNB2	cholinergic receptor, nicotinic, beta
NM_000750	CHRNB4	cholinergic receptor, nicotinic, beta
NM_000698	ALOX5	arachidonate 5-lipoxygenase
NM_000613	HPX	hemopexin
NM_000600	IL6	interleukin 6 (interferon, beta 2)
NM_000596	IGFBP1	insulin-like growth factor binding protein 1
NM_000373	UMPS	uridine monophosphate synthase
NM_000376	VDR	vitamin D (1,25-dihydroxyvitamin D3) receptor
NM_000550	TYRP1	tyrosinase-related protein 1
NM_000372	TYR	tyrosinase (oculocutaneous albinism IA)
NM_000368	TSC1	tuberous sclerosis 1 protein isoform 1
NM_000356	TCOF1	Treacher Collins-Franceschetti syndrome 1
NM_000351	STS	steryl-sulfatase precursor
NM_000452	SLC10A2	solute carrier family 10 (sodium/bile acid
NM_000339	SLC12A3	solute carrier family 12 (sodium/chloride
NM_000536	RAG2	recombination activating gene 2
NM_000540	RYR1	ryanodine receptor 1 (skeletal)
NM_000312	PROC	protein C (inactivator of coagulation factors Va
NM_000317	PTS	6-pyruvoyltetrahydropterin synthase
NM_000299	PKP1	plakophilin 1 isoform 1b
NM_000306	POU1F1	POU domain, class 1, transcription factor 1
NM_000288	PEX7	peroxisomal biogenesis factor 7
NM_000292	PHKA2	phosphorylase kinase, alpha 2 (liver)
NM_000283	PDE6B	phosphodiesterase 6B, cGMP-specific, rod, beta
NM_000284	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
NM_000528	MAN2B1	mannosidase, alpha, class 2B, member 1
NM_000194	HPRT1	hypoxanthine phosphoribosyltransferase 1
NM_000198	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta-
NM_000181	GUSB	glucuronidase, beta
NM_000183	HADHB	hydroxyacyl dehydrogenase, subunit B
NM_000406	GNRHR	gonadotropin-releasing hormone receptor isoform
NM_000174	GP9	glycoprotein IX (platelet)
NM_000404	GLB1	galactosidase, beta 1
NM_000170	GLDC	glycine dehydrogenase (decarboxylating; glycine
NM_000169	GLA	galactosidase, alpha
NM_000157	GBA	glucocerebrosidase precursor
NM_000513	OPN1MW	opsin 1 (cone pigments), medium-wave-sensitive
NM_000510	FSHB	follicle stimulating hormone, beta polypeptide
NM_000150	FUT6	fucosyltransferase 6 (alpha (1,3)
NM_000502	EPX	eosinophil peroxidase
NM_000125	ESR1	estrogen receptor 1
NM_000501	ELN	elastin
NM_000488	SERPINC1	serine (or cysteine) proteinase inhibitor, clade
NM_172369	C1QG	complement component 1, q subcomponent, gamma
NM_000480	AMPD3	erythrocyte adenosine monophosphate deaminase
NM_004683	RGN	regucalcin
NM_014330	PPP1R15A	protein phosphatase 1, regulatory subunit 15A
NM_016943	TAS2R3	taste receptor T2R3
NM_016944	TAS2R4	taste receptor T2R4
NM_017460	CYP3A4	cytochrome P450, subfamily IIIA, polypeptide 4
NM_003294	TPSAB1	tryptase alpha/beta 1 precursor
NM_024501	HOXD1	homeo box D1
NM_024507	KREMEN2	kringle-containing transmembrane protein 2
NM_024517	PHF2	PHD finger protein 2 isoform b
NM_080618	CTCFL	CCCTC-binding factor-like protein
NM_080629	COL11A1	alpha 1 type XI collagen isoform B
NM_080630	COL11A1	alpha 1 type XI collagen isoform C
NM_080631	VPS41	vacuolar protein sorting 41 (yeast homolog)
NM_024526	EPS8L3	epidermal growth factor receptor pathway
NM_178044	GIYD2	GIY-YIG domain containing 2 isoform 2
NM_024553	FLJ20097	hypothetical protein LOC55610 isoform b
NM_024555	FBXL6	F-box and leucine-rich repeat protein 6 isoform
NM_016938	EFEMP2	EGF-containing fibulin-like extracellular matrix
NM_004992	MECP2	methyl CpG binding protein 2
NM_024594	PANK3	pantothenate kinase 3
NM_024618	NOD9	NOD9 protein isoform 1
NM_024665	TBL1XR1	nuclear receptor co-repressor/HDAC3 complex
NM_024675	FLJ21816	hypothetical protein LOC79728
NM_024701	ASB13	ankyrin repeat and SOCS box-containing protein
NM_024708	ASB7	ankyrin repeat and SOCS box-containing protein 7
NM_080599	UPF2	UPF2 regulator of nonsense transcripts homolog
NM_080600	MAG	myelin associated glycoprotein isoform b
NM_080610	CST9L	cystatin 9-like precursor
NM_080611	DUSP15	dual specificity phosphatase 15 isoform a
NM_080614	WFDC3	WAP four-disulfide core domain 3 isoform 1
NM_080617	CBLN4	cerebellin 4 precursor
NM_024711	GIMAP6	GTPase, IMAP family member 6 isoform 1
NM_024712	ELMO3	engulfment and cell motility 3
NM_024767	DLC1	deleted in liver cancer 1 isoform 3
NM_024783	AGBL2	ATP/GTP binding protein-like 2
NM_024852	EIF2C3	eukaryotic translation initiation factor 2C, 3
NM_024885	TAF7L	TATA box binding protein-associated factor, RNA
NM_005701	RNUT1	RNA, U transporter 1
NM_080597	OSBPL1A	oxysterol-binding protein-like 1A isoform B
NM_080593	HIST1H2BK	H2B histone family, member T
NM_080596	HIST1H2AH	H2A histone family member
NM_080594	RNPS1	RNA-binding protein S1, serine-rich domain
NM_006150	LMO6	LIM domain only 6
NM_005254	GABPB2	GA binding protein transcription factor, beta
NM_014689	DOCK10	dedicator of cytokinesis 10
NM_025104	DRF1	Dbf4-related factor 1 isoform 2
NM_080548	PTPN6	protein tyrosine phosphatase, non-receptor type
NM_080549	PTPN6	protein tyrosine phosphatase, non-receptor type
NM_006380	APPBP2	amyloid beta precursor protein-binding protein
NM_002832	PTPN7	protein tyrosine phosphatase, non-receptor type
NM_080588	PTPN7	protein tyrosine phosphatase, non-receptor type
NM_080590	CAPS	calcyphosine isoform b
NM_080591	PTGS1	prostaglandin-endoperoxide synthase 1 isoform 2
NM_015840	ADAR	adenosine deaminase, RNA-specific isoform b
NM_015841	ADAR	adenosine deaminase, RNA-specific isoform c
NM_025141	BLP2	BBP-like protein 2 isoform b
NM_002121	HLA-DPB1	major histocompatibility complex, class II, DP
NM_017518	UIP1	UCH interacting protein 1 isoform a
NM_001111	ADAR	adenosine deaminase, RNA-specific isoform a
NM_025163	SMP3	SMP3 mannosyltransferase
NM_025168	LRRC1	leucine rich repeat containing 1
NM_025197	CDK5RAP3	CDK5 regulatory subunit associated protein 3
NM_002125	HLA-DRB5	major histocompatibility complex, class II, DR
NM_002122	HLA-DQA1	major histocompatibility complex, class II, DQ
NM_015837	FCN2	ficolin 2 isoform b precursor
NM_207106	UIP1	UCH interacting protein 1 isoform c
NM_025216	WNT10A	wingless-type MMTV integration site family,
NM_025220	ADAM33	a disintegrin and metalloproteinase domain 33
NM_015833	ADARB1	RNA-specific adenosine deaminase  B1 isoform
NM_015834	ADARB1	RNA-specific adenosine deaminase  B1 isoform
NM_025227	BPIL1	bactericidal/permeability-increasing
NM_024482	GMEB1	glucocorticoid modulatory element binding
NM_024164	TPSB2	tryptase beta 2 precursor
NM_001514	GTF2B	general transcription factor IIB
NM_006273	CCL7	chemokine (C-C motif) ligand 7 precursor
NM_001497	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4-
NM_004185	WNT2B	wingless-type MMTV integration site family,
NM_024494	WNT2B	wingless-type MMTV integration site family,
NM_017910	FLJ20628	hypothetical protein LOC55006
NM_080542	COLQ	acetylcholinesterase collagen-like tail subunit
NM_015831	ACHE	acetylcholinesterase isoform E4-E5 precursor
NM_015832	MBD2	methyl-CpG binding domain protein 2
NM_033250	PML	promyelocytic leukemia protein isoform 11
NM_033251	RPL13	ribosomal protein L13
NM_000977	RPL13	ribosomal protein L13
NM_033246	PML	promyelocytic leukemia protein isoform 7
NM_033247	PML	promyelocytic leukemia protein isoform 8
NM_033249	PML	promyelocytic leukemia protein isoform 10
NM_014190	ADD1	adducin 1 (alpha) isoform c
NM_033242	PML	promyelocytic leukemia protein isoform 3
NM_033244	PML	promyelocytic leukemia protein isoform 5
NM_033245	PML	promyelocytic leukemia protein isoform 12
NM_015726	WDR42A	H326
NM_014189	ADD1	adducin 1 (alpha) isoform b
NM_033238	PML	promyelocytic leukemia protein isoform 1
NM_033239	PML	promyelocytic leukemia protein isoform 9
NM_033240	PML	promyelocytic leukemia protein isoform 2
NM_015719	COL5A3	collagen, type V, alpha 3 preproprotein
NM_033198	PIGS	phosphatidylinositol glycan class S
NM_033181	CNR1	central cannabinoid receptor isoform b
NM_003103	SON	SON DNA-binding protein isoform G
NM_001222	CAMK2G	calcium/calmodulin-dependent protein kinase II
NM_033219	TRIM14	tripartite motif protein TRIM14 isoform alpha
NM_033220	TRIM14	tripartite motif protein TRIM14 isoform alpha
NM_033221	TRIM14	tripartite motif protein TRIM14 isoform beta
NM_000975	RPL11	ribosomal protein L11
NM_033257	DGCR6L	DiGeorge syndrome critical region gene 6 like
NM_033226	ABCC12	ATP-binding cassette, sub-family C, member 12
NM_015716	MINK1	misshapen/NIK-related kinase isoform 1
NM_033316	MFI2	melanoma-associated antigen p97 isoform 2,
NM_033167	B3GALT3	UDP-Gal:betaGlcNAc beta
NM_033168	B3GALT3	UDP-Gal:betaGlcNAc beta
NM_033169	B3GALT3	UDP-Gal:betaGlcNAc beta
NM_033170	B3GALT5	UDP-Gal:betaGlcNAc beta
NM_033171	B3GALT5	UDP-Gal:betaGlcNAc beta
NM_033172	B3GALT5	UDP-Gal:betaGlcNAc beta
NM_033173	B3GALT5	UDP-Gal:betaGlcNAc beta
NM_003549	HYAL3	hyaluronoglucosaminidase 3
NM_033183	CGB8	chorionic gonadotropin, beta polypeptide 8
NM_001011	RPS7	ribosomal protein S7
NM_021196	SLC4A5	sodium bicarbonate transporter 4 isoform a
NM_014183	DNCL2A	cytoplasmic dynein light chain 2A isoform a
NM_014140	SMARCAL1	SWI/SNF-related matrix-associated
NM_006119	FGF8	fibroblast growth factor 8 isoform B precursor
NM_003781	B3GALT3	UDP-Gal:betaGlcNAc beta
NM_052989	WDR10	WD repeat domain 10 isoform 2
NM_052990	WDR10	WD repeat domain 10 isoform 4
NM_052995	USH3A	USH3A protein isoform c
NM_052999	CKLFSF1	chemokine-like factor superfamily 1 isoform 13
NM_053004	GNB1L	guanine nucleotide binding protein
NM_000968	RPL4	ribosomal protein L4
NM_014175	MRPL15	mitochondrial ribosomal protein L15
NM_033152	NXF5	nuclear RNA export factor 5 isoform b
NM_033153	NXF5	nuclear RNA export factor 5 isoform c
NM_033154	NXF5	nuclear RNA export factor 5 isoform d
NM_033155	NXF5	nuclear RNA export factor 5 isoform e
NM_003773	HYAL2	hyaluronoglucosaminidase 2
NM_033158	HYAL2	hyaluronoglucosaminidase 2
NM_002952	RPS2	ribosomal protein S2
NM_020981	B3GALT1	UDP-Gal:betaGlcNAc beta
NM_003783	B3GALT2	UDP-Gal:betaGlcNAc beta
NM_033163	FGF8	fibroblast growth factor 8 isoform F precursor
NM_033164	FGF8	fibroblast growth factor 8 isoform E precursor
NM_033165	FGF8	fibroblast growth factor 8 isoform A precursor
NM_014098	PRDX3	peroxiredoxin 3 isoform b
NM_033147	DTNB	dystrobrevin, beta isoform 2
NM_033148	DTNB	dystrobrevin, beta isoform 3
NM_024996	GFM1	G elongation factor, mitochondrial 1
NM_033150	COL2A1	alpha 1 type II collagen isoform 2,
NM_033259	CAMK2N2	CaM-KII inhibitory protein
NM_019592	RNF20	ring finger protein 20
NM_033091	TRIM4	tripartite motif protein TRIM4 isoform beta
NM_033136	FGF1	fibroblast growth factor 1 (acidic) isoform 2
NM_001031	RPS28	ribosomal protein S28
NM_033137	FGF1	fibroblast growth factor 1 (acidic) isoform 3
NM_006362	NXF1	nuclear RNA export factor 1
NM_033453	ITPA	inosine triphosphatase isoform a
NM_033142	CGB7	chorionic gonadotropin, beta polypeptide 7
NM_033143	FGF5	fibroblast growth factor 5 isoform 2 precursor
NM_015675	GADD45B	growth arrest and DNA-damage-inducible, beta
NM_015681	EPPB9	B9 protein
NM_033068	ACPT	testicular acid phosphatase isoform a precursor
NM_053013	ENO3	enolase 3
NM_000970	RPL6	ribosomal protein L6
NM_053017	ART5	ADP-ribosyltransferase 5 precursor
NM_018440	PAG1	phosphoprotein associated with glycosphingolipid
NM_001261	CDK9	cyclin-dependent kinase 9
NM_000507	FBP1	fructose-1,6-bisphosphatase 1
NM_053024	PFN2	profilin 2 isoform a
NM_015657	ABCA12	ATP-binding cassette, sub-family A, member 12
NM_015660	GIMAP2	GTPase, IMAP family member 2
NM_033043	CGB5	chorionic gonadotropin, beta polypeptide 5
NM_001029	RPS26	ribosomal protein S26
NM_033191	KRTAP9-4	keratin associated protein 9-4
NM_033090	GREB1	GREB1 protein isoform b
NM_053034	ANTXR1	tumor endothelial marker 8 isoform 2 precursor
NM_018153	ANTXR1	tumor endothelial marker 8 isoform 3 precursor
NM_003973	RPL14	ribosomal protein L14
NM_006289	TLN1	talin 1
NM_054012	ASS	argininosuccinate synthetase
NM_015627	LDLRAP1	low density lipoprotein receptor adaptor protein
NM_015641	TES	testin isoform 1
NM_033118	MYLK2	skeletal myosin light chain kinase
NM_033132	ZIC5	zinc finger protein of the cerebellum 5
NM_033031	CCNB3	cyclin B3 isoform 3
NM_033131	WNT3A	wingless-type MMTV integration site family,
NM_033018	PCTK1	PCTAIRE protein kinase 1
NM_019080	NDFIP2	Nedd4 family interacting protein 2
NM_005762	TRIM28	tripartite motif-containing 28 protein
NM_005642	TAF7	TATA box-binding protein-associated factor 2F
NM_033022	RPS24	ribosomal protein S24 isoform a
NM_005117	FGF19	fibroblast growth factor 19 precursor
NM_015596	KLK13	kallikrein 13 precursor
NM_033062	KRTAP4-2	keratin associated protein 4-2
NM_053035	MRPS33	mitochondrial ribosomal protein S33
NM_053046	EGLN2	EGL nine (C.elegans) homolog 2 isoform 1
NM_015590	GPATC4	G patch domain containing 4 protein isoform 1
NM_033061	KRTAP4-7	keratin associated protein 4-7
NM_033188	KRTAP4-5	keratin associated protein 4-5
NM_015565	ZNF294	zinc finger protein 294
NM_015576	CAST	cytomatrix protein p110
NM_033016	PDGFB	platelet-derived growth factor beta isoform 2,
NM_033017	TRIM4	tripartite motif protein TRIM4 isoform alpha
NM_033028	BBS4	Bardet-Biedl syndrome 4
NM_033033	KRTHB2	keratin, hair, basic, 2
NM_033045	KRTHB4	keratin, hair, basic, 4
NM_033161	SURF4	surfeit 4
NM_033027	AXUD1	AXIN1 up-regulated 1
NM_033060	KRTAP4-10	keratin associated protein 4-10
NM_053050	MRPL53	mitochondrial ribosomal protein L53
NM_053056	CCND1	cyclin D1
NM_015550	OSBPL3	oxysterol-binding protein-like protein 3 isoform
NM_015560	OPA1	optic atrophy 1 isoform 1
NM_033014	OGN	osteoglycin preproprotein
NM_005765	ATP6AP2	ATPase, H+ transporting, lysosomal accessory
NM_015547	THEA	thioesterase, adipose associated isoform BFIT1
NM_015548	DST	dystonin isoform 1eA precursor
NM_033012	TNFSF11	tumor necrosis factor ligand superfamily, member
NM_016343	CENPF	centromere protein F (350/400kD)
NM_014800	ELMO1	engulfment and cell motility 1 isoform 1
NM_022779	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
NM_053274	GLMN	glomulin isoform FAP68
NM_053275	RPLP0	ribosomal protein P0
NM_001002	RPLP0	ribosomal protein P0
NM_053277	CLIC6	chloride intracellular channel 6
NM_054020	CATSPER2	sperm-associated cation channel 2 isoform 1
NM_015477	SIN3A	transcriptional co-repressor Sin3A
NM_015542	UPF2	UPF2 regulator of nonsense transcripts homolog
NM_033000	GTF2I	general transcription factor II, i isoform 2
NM_033001	GTF2I	general transcription factor II, i isoform 3
NM_001518	GTF2I	general transcription factor II, i isoform 4
NM_001363	DKC1	dyskerin
NM_000931	PLAT	plasminogen activator, tissue type isoform 2
NM_033011	PLAT	plasminogen activator, tissue type isoform 3
NM_004068	AP2M1	adaptor-related protein complex 2, mu 1 subunit
NM_015439	C6orf80	hypothetical protein LOC25901
NM_016945	TAS2R16	taste receptor T2R16
NM_015873	VILL	villin-like protein
NM_024424	WT1	Wilms tumor 1 isoform B
NM_024425	WT1	Wilms tumor 1 isoform C
NM_024426	WT1	Wilms tumor 1 isoform D
NM_016951	CKLF	chemokine-like factor isoform a
NM_015987	HEBP1	heme binding protein 1
NM_024165	PHF1	PHD finger protein 1 isoform b
NM_024344	CAPN3	calpain 3 isoform b
NM_002231	CD82	CD82 antigen isoform 1
NM_024415	DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4
NM_024417	FDXR	ferredoxin reductase isoform 1 precursor
NM_024421	DSC1	desmocollin 1 isoform Dsc1a preproprotein
NM_001941	DSC3	desmocollin 3 isoform Dsc3a preproprotein
NM_024423	DSC3	desmocollin 3 isoform Dsc3b preproprotein
NM_016050	MRPL11	mitochondrial ribosomal protein L11 isoform a
NM_024061	ZNF655	zinc finger protein 655 isoform b
NM_024110	CARD14	caspase recruitment domain protein 14 isoform 1
NM_017614	BHMT2	betaine-homocysteine methyltransferase 2
NM_080632	UPF3B	UPF3 regulator of nonsense transcripts homolog B
NM_016312	WBP11	WW domain binding protein 11
NM_002835	PTPN12	protein tyrosine phosphatase, non-receptor type
NM_006373	VAT1	vesicle amine transport protein 1
NM_020526	EPHA8	EPH receptor A8 isoform 1 precursor
NM_080645	COL12A1	alpha 1 type XII collagen short isoform
NM_021616	TRIM34	tripartite motif protein 34 isoform 1
NM_016065	MRPS16	mitochondrial ribosomal protein S16
NM_016067	MRPS18C	mitochondrial ribosomal protein S18C
NM_004082	DCTN1	dynactin 1 isoform 1
NM_001923	DDB1	damage-specific DNA binding protein 1
NM_001356	DDX3X	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3
NM_024010	MTRR	methionine synthase reductase isoform 2
NM_024014	HOXA6	homeobox protein A6
NM_024018	BTN2A3	butyrophilin, subfamily 2, member A3
NM_152851	MS4A6A	membrane-spanning 4-domains, subfamily A, member
NM_024022	TMPRSS3	transmembrane protease, serine 3 isoform 1
NM_024044	GIYD2	GIY-YIG domain containing 2 isoform 1
NM_024045	DDX50	nucleolar protein GU2
NM_001078	VCAM1	vascular cell adhesion molecule 1 isoform a
NM_015886	PI15	protease inhibitor 15 preproprotein
NM_015991	C1QA	complement component 1, q subcomponent, alpha
NM_023917	TAS2R9	taste receptor, type 2, member 9
NM_023918	TAS2R8	taste receptor, type 2, member 8
NM_023919	TAS2R7	taste receptor, type 2, member 7
NM_023920	TAS2R13	taste receptor, type 2, member 13
NM_023921	TAS2R10	taste receptor, type 2, member 10
NM_023922	TAS2R14	taste receptor, type 2, member 14
NM_023936	MRPS34	mitochondrial ribosomal protein S34
NM_023937	MRPL34	mitochondrial ribosomal protein L34
NM_023944	CYP4F12	cytochrome P450, family 4, subfamily F,
NM_018117	BRWD2	bromodomain and WD repeat domain containing 2
NM_017778	WHSC1L1	WHSC1L1 protein isoform short
NM_024003	L1CAM	L1 cell adhesion molecule isoform 2 precursor
NM_016034	MRPS2	mitochondrial ribosomal protein S2
NM_016100	NAT5	N-acetyltransferase 5 isoform a
NM_016102	TRIM17	tripartite motif-containing 17 isoform 1
NM_080648	APEX1	APEX nuclease
NM_080649	APEX1	APEX nuclease
NM_080671	KCNE4	potassium voltage-gated channel, Isk-related
NM_016180	MATP	membrane-associated transporter protein isoform
NM_016228	AADAT	alpha-aminoadipate aminotransferase
NM_016239	MYO15A	myosin XV
NM_023085	CAPN10	calpain 10 isoform c
NM_023089	CAPN10	calpain 10 isoform g
NM_000761	CYP1A2	cytochrome P450, family 1, subfamily A,
NM_016279	CDH9	cadherin 9, type 2 preproprotein
NM_016304	C15orf15	ribosomal protein L24-like
NM_023083	CAPN10	calpain 10 isoform a
NM_080682	VCAM1	vascular cell adhesion molecule 1 isoform b
NM_080683	PTPN13	protein tyrosine phosphatase, non-receptor type
NM_080684	PTPN13	protein tyrosine phosphatase, non-receptor type
NM_080685	PTPN13	protein tyrosine phosphatase, non-receptor type
NM_080687	UPF3A	UPF3 regulator of nonsense transcripts homolog A
NM_016326	CKLF	chemokine-like factor isoform c
NM_023011	UPF3A	UPF3 regulator of nonsense transcripts homolog A
NM_023019	DCTN1	dynactin 1 isoform 2
NM_023028	FGFR2	fibroblast growth factor receptor 2 isoform 10
NM_023029	FGFR2	fibroblast growth factor receptor 2 isoform 11
NM_023030	FGFR2	fibroblast growth factor receptor 2 isoform 12
NM_023031	FGFR2	fibroblast growth factor receptor 2 isoform 13
NM_023032	METTL1	methyltransferase-like protein 1 isoform b
NM_023033	METTL1	methyltransferase-like protein 1 isoform c
NM_023034	WHSC1L1	WHSC1L1 protein isoform long
NM_023035	CACNA1A	calcium channel, alpha 1A subunit isoform 2
NM_014289	CAPN6	calpain 6
NM_017541	CRYGS	crystallin, gamma S
