MYO9B	NM_001130065	myosin IXB isoform 2
ABLIM1	NM_001003407	actin-binding LIM protein 1 isoform b
BHMT2	NM_017614	betaine-homocysteine methyltransferase 2
IL22RA2	NM_181310	interleukin 22-binding protein isoform 3
CD74	NM_001025158	CD74 antigen isoform c
SIN3A	NM_015477	transcriptional co-repressor Sin3A
EXOSC7	NM_015004	exosome component 7
FOXD4L6	NM_001085476	forkhead box D4-like 6
DPY19L1	NM_015283	dpy-19-like 1
GIMAP1	NM_130759	GTPase, IMAP family member 1
PPP1R7	NM_002712	protein phosphatase 1, regulatory subunit 7
NKRF	NM_017544	transcription factor NRF
FASTK	NM_006712	Fas-activated serine/threonine kinase isoform 1
DNASE1L1	NM_001009933	deoxyribonuclease I-like 1 precursor
THBS1	NM_003246	thrombospondin 1 precursor
FOLR2	NM_001113535	folate receptor 2 precursor
ZNF670	NM_033213	zinc finger protein 670
SCGB1D1	NM_006552	lipophilin A precursor
SLC22A6	NM_153278	solute carrier family 22 member 6 isoform d
DDX31	NM_138620	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
CD82	NM_002231	CD82 antigen isoform 1
GSTT1	NM_000853	glutathione S-transferase theta 1
SLC26A8	NM_052961	solute carrier family 26, member 8 isoform a
C5AR1	NM_001736	complement component 5 receptor 1
OR52K2	NM_001005172	olfactory receptor, family 52, subfamily K,
PHF11	NM_001040443	PHD finger protein 11 isoform a
DHRS9	NM_005771	NADP-dependent retinol dehydrogenase/reductase
GDF1	NM_001492	growth differentiation factor 1
SLC27A4	NM_005094	solute carrier family 27 (fatty acid
MXRA8	NM_032348	matrix-remodelling associated 8
ICAM2	NM_001099789	intercellular adhesion molecule 2 precursor
KCNC3	NM_004977	Shaw-related voltage-gated potassium channel
CDC42BPB	NM_006035	CDC42-binding protein kinase beta
KCTD14	NM_023930	potassium channel tetramerisation domain
RGL2	NM_004761	ral guanine nucleotide dissociation
ZNF746	NM_152557	zinc finger protein 746
UBXD5	NM_001077262	socius isoform 3
JUN	NM_002228	jun oncogene
CD40	NM_152854	CD40 antigen isoform 2 precursor
RABGAP1	NM_012197	RAB GTPase activating protein 1
PLEKHF2	NM_024613	phafin 2
CASP3	NM_004346	caspase 3 preproprotein
UBE3A	NM_000462	ubiquitin protein ligase E3A isoform 2
TPMT	NM_000367	thiopurine S-methyltransferase
IL6R	NM_181359	interleukin 6 receptor isoform 2 precursor
C3orf57	NM_001040100	ADMP
TFAM	NM_003201	transcription factor A, mitochondrial
CACNA1G	NM_198378	voltage-dependent calcium channel alpha 1G
CNPY4	NM_152755	canopy 4 homolog
ERG	NM_004449	v-ets erythroblastosis virus E26 oncogene like
WFDC8	NM_130896	WAP four-disulfide core domain 8 precursor
ZSCAN2	NM_181877	zinc finger protein 29 isoform 1
RNH1	NM_002939	ribonuclease/angiogenin inhibitor
LAMA4	NM_001105206	laminin, alpha 4 isoform 1 precursor
RNF150	NM_020724	ring finger protein 150
CABIN1	NM_012295	calcineurin binding protein 1
GOLGA4	NM_002078	golgi autoantigen, golgin subfamily a, 4
ACRV1	NM_020111	acrosomal vesicle protein 1 isoform f precursor
CXorf41	NM_173494	hypothetical protein LOC139212
KCNIP1	NM_001034838	Kv channel interacting protein 1 isoform 3
GLIPR1L2	NM_152436	GLI pathogenesis-related 1 like 2
ITIH5	NM_001001851	inter-alpha trypsin inhibitor heavy chain
CCDC12	NM_144716	coiled-coil domain containing 12
GRAMD1C	NM_017577	GRAM domain containing 1C
FBXW8	NM_012174	F-box and WD repeat domain containing 8 isoform
HEY1	NM_012258	hairy/enhancer-of-split related with YRPW motif
COMMD5	NM_001081003	COMM domain containing 5
WDR76	NM_024908	WD repeat domain 76
MYH8	NM_002472	myosin, heavy chain 8, skeletal muscle,
APAF1	NM_181869	apoptotic peptidase activating factor 1 isoform
C1orf58	NM_144695	hypothetical protein LOC148362
LIPK	NM_001080518	lipase, family member K
C13orf23	NM_170719	hypothetical protein LOC80209 isoform 2
FAM160B2	NM_022749	retinoic acid induced 16
SH3BGRL3	NM_031286	SH3 domain binding glutamic acid-rich protein
MVP	NM_005115	major vault protein
LIG3	NM_002311	ligase III, DNA, ATP-dependent isoform beta
ZMAT3	NM_152240	p53 target zinc finger protein isoform 2
CST6	NM_001323	cystatin M precursor
ARPC3	NM_005719	actin related protein 2/3 complex subunit 3
CDC25C	NM_001790	cell division cycle 25C protein isoform a
CHEK1	NM_001114122	CHK1 checkpoint homolog
RAP1GDS1	NM_001100427	RAP1, GTP-GDP dissociation stimulator 1 isoform
PTGES2	NM_025072	prostaglandin E synthase 2 isoform 1
MEOX2	NM_005924	mesenchyme homeobox 2
UCKL1	NM_017859	uridine-cytidine kinase 1-like 1
WFDC2	NM_006103	WAP four-disulfide core domain 2 precursor
PLEKHG1	NM_001029884	pleckstrin homology domain containing, family G
KRT6B	NM_005555	keratin 6B
RNF180	NM_178532	ring finger protein 180 isoform 2
DHODH	NM_001361	dihydroorotate dehydrogenase precursor
C15orf24	NM_020154	chromosome 15 open reading frame 24
MAP1S	NM_018174	BPY2 interacting protein 1
ALDH8A1	NM_170771	aldehyde dehydrogenase 8A1 isoform 2
TNRC6B	NM_001024843	trinucleotide repeat containing 6B isoform 2
ANKRD20A4	NM_001098805	ankyrin repeat domain 20 family, member A4
SOCS5	NM_144949	suppressor of cytokine signaling 5
NPAS2	NM_002518	neuronal PAS domain protein 2
CYP8B1	NM_004391	cytochrome P450, family 8, subfamily B,
SLC23A1	NM_152685	solute carrier family 23 (nucleobase
PQLC2	NM_001040125	PQ loop repeat containing 2 isoform 1
HIST1H2AA	NM_170745	histone cluster 1, H2aa
KBTBD4	NM_018095	kelch repeat and BTB (POZ) domain containing 4
EI24	NM_001007277	etoposide induced 2.4 isoform 2
OR2A12	NM_001004135	olfactory receptor, family 2, subfamily A,
CYP26A1	NM_000783	cytochrome P450, family 26, subfamily A,
ENOPH1	NM_021204	enolase-phosphatase 1
KLHL4	NM_057162	kelch-like 4 isoform 2
ING1	NM_198218	inhibitor of growth family, member 1 isoform B
BAI2	NM_001703	brain-specific angiogenesis inhibitor 2
CHRFAM7A	NM_148911	CHRNA7-FAM7A fusion isoform 2
CASKIN2	NM_020753	cask-interacting protein 2
TH1L	NM_198976	TH1-like protein
ANAPC11	NM_001002246	APC11 anaphase promoting complex subunit 11
C14orf153	NM_032374	chromosome 14 open reading frame 153
C5orf15	NM_020199	hypothetical protein LOC56951
BCAS4	NM_001010974	breast carcinoma amplified sequence 4 isoform c
OR2M3	NM_001004689	olfactory receptor, family 2, subfamily M,
CLIP1	NM_198240	restin isoform b
TMEM80	NM_174940	transmembrane protein 80 isoform 1
POMZP3	NM_152992	POMZP3 fusion protein isoform 2
RAB7L1	NM_003929	RAB7, member RAS oncogene family-like 1
DBN1	NM_004395	drebrin 1 isoform a
XRCC4	NM_003401	X-ray repair cross complementing protein 4
ALG5	NM_013338	asparagine-linked glycosylation 5
BRCA1	NM_007302	breast cancer 1, early onset isoform
HAPLN3	NM_178232	hyaluronan and proteoglycan link protein 3
CD36	NM_001001547	CD36 antigen
MYO19	NM_025109	myosin head domain containing 1 isoform 1
MTMR15	NM_014967	myotubularin related protein 15
PRKD2	NM_001079880	protein kinase D2 isoform A
EFCAB3	NM_173503	EF-hand calcium binding domain 3
SAP30	NM_003864	Sin3A-associated protein, 30kDa
ATMIN	NM_015251	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger
ENPP5	NM_021572	ectonucleotide pyrophosphatase/phosphodiesterase
IFT122	NM_018262	WD repeat domain 10 isoform 3
MACROD2	NM_001033087	MACRO domain containing 2 isoform 2
C1QTNF1	NM_198594	C1q and tumor necrosis factor related protein 1
ZBTB10	NM_023929	zinc finger and BTB domain containing 10 isoform
CACNG5	NM_014404	voltage-dependent calcium channel gamma-5
ASB8	NM_024095	ankyrin repeat and SOCS box-containing 8
LGR4	NM_018490	leucine-rich repeat-containing G protein-coupled
TPST2	NM_001008566	tyrosylprotein sulfotransferase 2
CBWD3	NM_201453	COBW domain containing 3
GABRP	NM_014211	gamma-aminobutyric acid (GABA) A receptor, pi
DCUN1D3	NM_173475	DCN1, defective in cullin neddylation 1, domain
EPB41L4B	NM_018424	erythrocyte membrane protein band 4.1 like 4B
TTR	NM_000371	transthyretin
KIAA1688	NM_025251	KIAA1688 protein
CPA2	NM_001869	carboxypeptidase A2 (pancreatic)
CD200R1	NM_138940	CD200 receptor 1 isoform c
APCS	NM_001639	serum amyloid P component precursor
DHRS4	NM_021004	peroxisomal short-chain alcohol dehydrogenase
PRNT	NM_177549	prion protein (testis specific)
UCHL5IP	NM_207107	UCH interacting protein 1 isoform b
ATRIP	NM_032166	ATR interacting protein isoform 2
CEP97	NM_024548	centrosomal protein 97kDa
RNF24	NM_007219	ring finger protein 24
OTOP1	NM_177998	otopetrin 1
ENSA	NM_207046	endosulfine alpha isoform 6
MATN4	NM_003833	matrilin 4 isoform 1 precursor
KIAA1407	NM_020817	hypothetical protein LOC57577
SYNE1	NM_133650	spectrin repeat containing, nuclear envelope 1
RYR3	NM_001036	ryanodine receptor 3
PLUNC	NM_016583	palate, lung and nasal epithelium associated
OSGIN1	NM_013370	oxidative stress induced growth inhibitor 1
LOC647099	NM_001093758	similar to ribosomal protein L23A
TMEM9B	NM_020644	TMEM9 domain family, member B
EOMES	NM_005442	eomesodermin
TARDBP	NM_007375	TAR DNA binding protein
SPRR2E	NM_001024209	small proline-rich protein 2E
TP53I11	NM_006034	p53-induced protein
MRPS16	NM_016065	mitochondrial ribosomal protein S16
SWAP70	NM_015055	SWAP-70 protein
LOC728819	NM_001101330	C1GALT1-specific chaperone 1-like
ASGR2	NM_080913	asialoglycoprotein receptor 2 isoform b
SERF1B	NM_022978	small EDRK-rich factor 1B, centromeric
LGALS8	NM_201545	galectin 8 isoform a
LARS2	NM_015340	leucyl-tRNA synthetase 2, mitochondrial
DDX4	NM_024415	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4
IGFBP6	NM_002178	insulin-like growth factor binding protein 6
LOXL4	NM_032211	lysyl oxidase-like 4 precursor
MSL3L1	NM_006800	male-specific lethal 3-like 1 isoform c
TAAR2	NM_014626	trace amine associated receptor 2 isoform 2
TBCEL	NM_152715	tubulin folding cofactor E-like
ADH1A	NM_000667	class I alcohol dehydrogenase, alpha subunit
CCL20	NM_004591	chemokine (C-C motif) ligand 20 isoform 1
MYH2	NM_017534	myosin, heavy chain 2, skeletal muscle, adult
LRRIQ1	NM_001079910	leucine-rich repeats and IQ motif containing 1
PMEPA1	NM_199170	transmembrane prostate androgen-induced protein
LOC389118	NM_001007540	hypothetical protein LOC389118
NTN2L	NM_006181	netrin 2-like
ARHGAP18	NM_033515	Rho GTPase activating protein 18
EXOC4	NM_001037126	SEC8 protein isoform b
ZNF540	NM_152606	zinc finger protein 540
DACH1	NM_080759	dachshund homolog 1 isoform a
TPP1	NM_000391	tripeptidyl-peptidase I preproprotein
CCHCR1	NM_019052	coiled-coil alpha-helical rod protein 1 isoform
BMP10	NM_014482	bone morphogenetic protein 10 preproprotein
IL32	NM_001012636	interleukin 32 isoform D
C19orf20	NM_033513	tubulin polyglutamylase complex subunit 1
LETM1	NM_012318	leucine zipper-EF-hand containing transmembrane
RBMS1	NM_016836	RNA binding motif, single stranded interacting
SULT1C3	NM_001008743	sulfotransferase family, cytosolic, 1C, member
GNA13	NM_006572	guanine nucleotide binding protein (G protein),
CIRH1A	NM_032830	cirhin
C4orf45	NM_152543	hypothetical protein LOC152940
RBM33	NM_053043	RNA binding motif protein 33 isoform 2
ADH7	NM_000673	class IV alcohol dehydrogenase 7 mu or sigma
ZIC3	NM_003413	zinc finger protein of the cerebellum 3
ARHGAP30	NM_001025598	Rho GTPase activating protein 30 isoform 1
STAT3	NM_213662	signal transducer and activator of transcription
TCL6	NM_012468	T-cell leukemia/lymphoma 6 isoform TCL6a1
HNF4A	NM_000457	hepatocyte nuclear factor 4 alpha isoform b
DERA	NM_015954	deoxyribose-phosphate aldolase-like
SLAMF1	NM_003037	signaling lymphocytic activation molecule family
KLHL32	NM_052904	kelch-like 32
FLJ11171	NM_001099642	hypothetical protein LOC55783
LRRN3	NM_018334	leucine rich repeat neuronal 3
AKR1B1	NM_001628	aldo-keto reductase family 1, member B1
CCDC42	NM_144681	coiled-coil domain containing 42
RBM16	NM_014892	RNA-binding motif protein 16
PHF17	NM_199320	PHD finger protein 17 long isoform
VMO1	NM_182566	vitelline membrane outer layer 1
N6AMT1	NM_013240	N-6 adenine-specific DNA methyltransferase 1
C3orf55	NM_001099777	hypothetical protein LOC152078 isoform 3
MAF	NM_001031804	v-maf musculoaponeurotic fibrosarcoma oncogene
CDKL4	NM_001009565	cyclin-dependent kinase-like 4
SMCHD1	NM_015295	structural maintenance of chromosomes flexible
CCDC144A	NM_014695	coiled-coil domain containing 144A
EXDL2	NM_018199	exonuclease 3'-5' domain-like 2
ERCC6	NM_000124	excision repair cross-complementing rodent
MFN1	NM_033540	mitofusin 1
PTGFR	NM_000959	prostaglandin F receptor isoform a precursor
ABCA12	NM_015657	ATP-binding cassette, sub-family A, member 12
ADCK5	NM_174922	aarF domain containing kinase 5
CNOT10	NM_015442	CCR4-NOT transcription complex, subunit 10
FBXW4	NM_022039	F-box and WD repeat domain containing 4
RADIL	NM_018059	Rap GTPase interactor
EDNRA	NM_001957	endothelin receptor type A
ECE1	NM_001113348	endothelin converting enzyme 1 isoform 4
WFIKKN1	NM_053284	WAP, follistatin/kazal, immunoglobulin, kunitz
DAP3	NM_004632	death-associated protein 3
NIF3L1	NM_021824	NIF3 NGG1 interacting factor 3-like 1
TATDN2	NM_014760	TatD DNase domain containing 2
KRTAP6-3	NM_181605	keratin associated protein 6-3
C14orf1	NM_007176	hypothetical protein LOC11161
REV1	NM_016316	REV1-like isoform 1
ZNF335	NM_022095	zinc finger protein 335
RPS9	NM_001013	ribosomal protein S9
ELOVL4	NM_022726	elongation of very long chain fatty acids-like
N6AMT2	NM_174928	N-6 adenine-specific DNA methyltransferase 2
PRAMEF2	NM_023014	PRAME family member 2
IGSF3	NM_001007237	immunoglobulin superfamily, member 3 isoform 2
ADARB1	NM_001112	RNA-specific adenosine deaminase B1 isoform 1
CTGLF1	NM_133446	centaurin, gamma-like family, member 1
ZDHHC15	NM_144969	zinc finger, DHHC-type containing 15
ZNF507	NM_014910	zinc finger protein 507
LRRC37A3	NM_199340	leucine rich repeat containing 37, member A3
RGS20	NM_170587	regulator of G-protein signaling 20 isoform a
PIK3AP1	NM_152309	phosphoinositide-3-kinase adaptor protein 1
ZSCAN2	NM_001007072	zinc finger protein 29 isoform 3
EN2	NM_001427	engrailed homeobox 2
DIAPH2	NM_006729	diaphanous 2 isoform 156
NOC4L	NM_024078	nucleolar complex associated 4 homolog
ARMC6	NM_033415	armadillo repeat containing 6
TADA1L	NM_053053	SPT3-associated factor 42
CYP4F22	NM_173483	cytochrome P450, family 4, subfamily F,
TCEB2	NM_207013	elongin B isoform b
RHOBTB1	NM_198225	Rho-related BTB domain containing 1
TRIM10	NM_006778	tripartite motif-containing 10 isoform 1
C7orf63	NM_001039706	hypothetical protein LOC79846
FAM119B	NM_015433	hypothetical protein LOC25895 isoform a
C18orf1	NM_181483	hypothetical protein LOC753 isoform beta 2
TIRAP	NM_001039661	Toll-interleukin 1 receptor domain-containing
MIB1	NM_020774	mindbomb homolog 1
ZNF407	NM_017757	zinc finger protein 407
ILF3	NM_153464	interleukin enhancer binding factor 3 isoform c
PHLPP	NM_194449	PH domain and leucine rich repeat protein
DNAH3	NM_017539	dynein, axonemal, heavy chain 3
PTK2B	NM_173174	PTK2B protein tyrosine kinase 2 beta isoform a
HFE	NM_139003	hemochromatosis protein isoform 3 precursor
SUPT3H	NM_003599	suppressor of Ty 3 homolog isoform 1
NETO1	NM_138966	neuropilin- and tolloid-like protein 1 isoform 3
HPSE	NM_001098540	heparanase
IMPDH2	NM_000884	inosine monophosphate dehydrogenase 2
NKTR	NM_005385	natural killer-tumor recognition sequence
CRB1	NM_201253	crumbs homolog 1 precursor
RAP2C	NM_021183	RAP2C, member of RAS oncogene family
MYO7A	NM_001127180	myosin VIIA isoform 2
GP2	NM_001502	zymogen granule membrane glycoprotein 2 isoform
RNASET2	NM_003730	ribonuclease T2 precursor
SPANXE	NM_145665	SPANX family, member E
CNTFR	NM_001842	ciliary neurotrophic factor receptor
TBCCD1	NM_018138	TBCC domain containing 1
LRRC24	NM_001024678	leucine rich repeat containing 24
VRK1	NM_003384	vaccinia related kinase 1
TMEM16K	NM_018075	transmembrane protein 16K
LACTB	NM_171846	lactamase, beta isoform b
DUT	NM_001948	deoxyuridine triphosphatase isoform 2
RSBN1L	NM_198467	round spermatid basic protein 1-like
IFNGR2	NM_005534	interferon gamma receptor 2 precursor
RPS15A	NM_001019	ribosomal protein S15a
DEAF1	NM_021008	deformed epidermal autoregulatory factor 1
PSMD10	NM_002814	proteasome 26S non-ATPase subunit 10 isoform 1
INHBE	NM_031479	activin beta E
CACNA2D4	NM_172364	voltage-gated calcium channel alpha(2)delta-4
CRADD	NM_003805	CASP2 and RIPK1 domain containing adaptor with
KIAA0586	NM_014749	talpid3 protein
CSNK1G1	NM_022048	casein kinase 1, gamma 1
C3orf38	NM_173824	hypothetical protein LOC285237
KIR2DS5	NM_014513	killer cell immunoglobulin-like receptor, two
LILRB1	NM_001081639	leukocyte immunoglobulin-like receptor,
C3orf32	NM_015931	hypothetical protein LOC51066
LPAR5	NM_020400	lysophosphatidic acid receptor 5
RBM12	NM_006047	RNA binding motif protein 12
LNPEP	NM_175920	leucyl/cystinyl aminopeptidase isoform 2
PDK3	NM_005391	pyruvate dehydrogenase kinase, isozyme 3
IL27	NM_145659	interleukin 27
FAM71E1	NM_138411	hypothetical protein LOC112703
SSTR4	NM_001052	somatostatin receptor 4
DNAJC17	NM_018163	DnaJ (Hsp40) homolog, subfamily C, member 17
KIF11	NM_004523	kinesin family member 11
LARP4	NM_199188	c-Mpl binding protein isoform b
SLC7A6	NM_003983	solute carrier family 7 (cationic amino acid
ARMCX2	NM_014782	ALEX2 protein
PDE9A	NM_001001585	phosphodiesterase 9A isoform g
RLBP1	NM_000326	retinaldehyde binding protein 1
TNFAIP1	NM_021137	tumor necrosis factor, alpha-induced protein 1
DSCR4	NM_005867	Down syndrome critical region protein 4
GABPB1	NM_016655	GA binding protein transcription factor, beta
ICMT	NM_012405	isoprenylcysteine carboxyl methyltransferase
DEFB137	NM_001033018	defensin, beta 137
PRR18	NM_175922	proline rich region 18
RCBTB1	NM_018191	regulator of chromosome condensation (RCC1) and
UBE2L6	NM_198183	ubiquitin-conjugating enzyme E2L 6 isoform 2
TMEM136	NM_174926	transmembrane protein 136
MED1	NM_004774	mediator complex subunit 1
TMIGD2	NM_144615	transmembrane and immunoglobulin domain
CCDC44	NM_016360	coiled-coil domain containing 44
FAM119B	NM_206914	hypothetical protein LOC25895 isoform b
S100A7	NM_002963	S100 calcium binding protein A7
C22orf32	NM_033318	hypothetical protein LOC91689
MEP1B	NM_005925	meprin A, beta
ZNF705A	NM_001004328	zinc finger protein 705A
ENPP7	NM_178543	ectonucleotide pyrophosphatase/phosphodiesterase
OR5T1	NM_001004745	olfactory receptor, family 5, subfamily T,
OR13A1	NM_001004297	olfactory receptor, family 13, subfamily A,
SLC38A9	NM_173514	solute carrier family 38, member 9
PTPRT	NM_007050	protein tyrosine phosphatase, receptor type, T
NOSTRIN	NM_001039724	nitric oxide synthase trafficker isoform 2
C13orf39	NM_001010977	hypothetical protein LOC196541
F11	NM_000128	platelet coagulation factor XI precursor
NR3C1	NM_001018074	nuclear receptor subfamily 3, group C, member 1
BRCC3	NM_001018055	BRCA1/BRCA2-containing complex, subunit 3
CALCA	NM_001033953	calcitonin isoform CGRP preproprotein
ALS2CR2	NM_018571	amyotrophic lateral sclerosis 2 (juvenile)
FYB	NM_001465	FYN binding protein (FYB-120/130) isoform 1
MICALL2	NM_182924	MICAL-like 2 isoform 1
HOXD9	NM_014213	homeobox D9
ORMDL1	NM_016467	ORM1-like 1
JMJD6	NM_001081461	jumonji domain containing 6 isoform 1
FAM81A	NM_152450	hypothetical protein LOC145773
FLVCR1	NM_014053	feline leukemia virus subgroup C cellular
ARCN1	NM_001655	archain
SPC25	NM_020675	spindle pole body component 25
TRIM32	NM_001099679	TAT-interactive protein, 72-KD
IL15	NM_000585	interleukin 15 preproprotein
OPALIN	NM_001040102	transmembrane protein 10 isoform b
PHLDA2	NM_003311	pleckstrin homology-like domain family A member
RPGRIP1L	NM_015272	RPGRIP1-like isoform a
TMEM80	NM_001042463	transmembrane protein 80 isoform 2
METTL6	NM_152396	methyltransferase like 6
RAB21	NM_014999	RAB21, member RAS oncogene family
CNBD1	NM_173538	cyclic nucleotide binding domain containing 1
MTMR9	NM_015458	myotubularin-related protein 9
SSTR2	NM_001050	somatostatin receptor 2
NR1I3	NM_001077479	constitutive androstane receptor isoform 10
ROBO1	NM_133631	roundabout 1 isoform b
DGKE	NM_003647	diacylglycerol kinase epsilon
DMKN	NM_001035516	dermokine isoform 1 precursor
NEK6	NM_014397	putative serine-threonine protein kinase
CHIT1	NM_003465	chitotriosidase
ILK	NM_001014794	integrin-linked kinase
ZNF521	NM_015461	zinc finger protein 521
DDR2	NM_006182	discoidin domain receptor family, member 2
THAP4	NM_015963	THAP domain containing 4
SERPINA10	NM_001100607	serine (or cysteine) proteinase inhibitor, clade
DPY19L3	NM_207325	dpy-19-like 3
OR52N5	NM_001001922	olfactory receptor, family 52, subfamily N,
FOXK1	NM_001037165	forkhead box K1
NOL9	NM_024654	nucleolar protein 9
BICD2	NM_015250	bicaudal D homolog 2 isoform 2
ZNF579	NM_152600	zinc finger protein 579
SENP7	NM_001077203	sentrin/SUMO-specific protease 7 isoform 2
SYN1	NM_133499	synapsin I isoform Ib
TRIM23	NM_033227	ADP-ribosylation factor domain protein 1 isoform
MAP3K7IP1	NM_006116	mitogen-activated protein kinase kinase kinase 7
HHLA3	NM_001036646	HERV-H LTR-associating 3 isoform 3
OR8B12	NM_001005195	olfactory receptor, family 8, subfamily B,
MPZL2	NM_005797	myelin protein zero-like 2 precursor
BTBD10	NM_032320	K+ channel tetramerization protein
SRPX2	NM_014467	sushi-repeat-containing protein, X-linked 2
S100P	NM_005980	S100 calcium binding protein P
CSN2	NM_001891	casein beta
A26A1	NM_001002920	ANKRD26-like family A, member 1 isoform 1
KANK2	NM_015493	ankyrin repeat domain 25
RNF11	NM_014372	ring finger protein 11
TRIM6	NM_001003818	tripartite motif-containing 6 isoform 1
ITGAL	NM_002209	integrin alpha L isoform a precursor
ZBED2	NM_024508	zinc finger, BED domain containing 2
SLC30A5	NM_022902	zinc transporter ZTL1 isoform 1
FAM70B	NM_182614	family with sequence similarity 70, member B
RORC	NM_001001523	RAR-related orphan receptor C isoform b
CABLES2	NM_031215	Cdk5 and Abl enzyme substrate 2
FAM45B	NM_018472	hypothetical protein LOC55855
C17orf76	NM_207387	hypothetical protein LOC388341 isoform 2
OCIAD1	NM_001079841	OCIA domain containing 1 isoform 3
MGAT4A	NM_012214	mannosyl (alpha-1,3-)-glycoprotein
ECSIT	NM_016581	evolutionarily conserved signaling intermediate
CAPN5	NM_004055	calpain 5
ENDOD1	NM_015036	endonuclease domain containing 1
CDYL	NM_170751	chromodomain protein, Y chromosome-like isoform
FLCN	NM_144606	folliculin isoform 2
CNP	NM_033133	2',3'-cyclic nucleotide 3' phosphodiesterase
BAZ2B	NM_013450	bromodomain adjacent to zinc finger domain, 2B
TAC4	NM_170685	tachykinin 4 isoform alpha
RSU1	NM_012425	ras suppressor protein 1 isoform 1
PRELID2	NM_205846	PRELI domain containing 2 isoform b
ZNF789	NM_213603	zinc finger protein 789 isoform 1
MOBKL2A	NM_130807	MOB-LAK
SMARCA1	NM_139035	SWI/SNF-related matrix-associated
EMP2	NM_001424	epithelial membrane protein 2
TIGD3	NM_145719	tigger transposable element derived 3
SEL1L2	NM_025229	sel-1 suppressor of lin-12-like 2
BTAF1	NM_003972	BTAF1 RNA polymerase II, B-TFIID transcription
CDA	NM_001785	cytidine deaminase
GZMK	NM_002104	granzyme K precursor
DBNDD1	NM_024043	dysbindin (dystrobrevin binding protein 1)
EPN3	NM_017957	epsin 3
SNRPA	NM_004596	small nuclear ribonucleoprotein polypeptide A
SPIN2A	NM_019003	spindlin family, member 2
SUMF2	NM_001042468	sulfatase modifying factor 2 isoform a
HOMER3	NM_004838	Homer, neuronal immediate early gene, 3
TAF6L	NM_006473	TAF6-like RNA polymerase II
SBNO1	NM_018183	sno, strawberry notch homolog 1
GSTM3	NM_000849	glutathione S-transferase M3
CCDC151	NM_145045	coiled-coil domain containing 151
TCP1	NM_001008897	T-complex protein 1 isoform b
TMEM51	NM_018022	transmembrane protein 51
PRKG1	NM_006258	protein kinase, cGMP-dependent, type I isoform
IGF2BP3	NM_006547	insulin-like growth factor 2 mRNA binding
LOC645441	NM_001093734	hypothetical protein LOC645441
CD82	NM_001024844	CD82 antigen isoform 2
NXF2	NM_022053	nuclear RNA export factor 2
PTPN6	NM_002831	protein tyrosine phosphatase, non-receptor type
NFATC1	NM_172389	nuclear factor of activated T-cells, cytosolic
FAM96A	NM_001014812	family with sequence similarity 96, member A
DSTN	NM_001011546	destrin isoform b
C5orf4	NM_016348	hypothetical protein LOC10826 isoform 1
RAB40C	NM_021168	RAB40C, member RAS oncogene family
TINF2	NM_012461	TERF1 (TRF1)-interacting nuclear factor 2
CFLAR	NM_003879	CASP8 and FADD-like apoptosis regulator isoform
HIST2H4B	NM_001034077	histone cluster 2, H4b
NEUROD4	NM_021191	neurogenic differentiation 4
ZNF451	NM_015555	zinc finger protein 451 isoform 2
FAM152A	NM_016076	hypothetical protein LOC51029
DECR1	NM_001359	2,4-dienoyl CoA reductase 1 precursor
SEPW1	NM_003009	selenoprotein W, 1
AMELY	NM_001143	amelogenin, Y-linked precursor
GPR151	NM_194251	G protein-coupled receptor 151
RNF121	NM_018320	ring finger protein 121 isoform 1
MMP7	NM_002423	matrix metalloproteinase 7 preproprotein
PPP1CC	NM_002710	protein phosphatase 1, catalytic subunit, gamma
KIAA0329	NM_014844	hypothetical protein LOC9895
RG9MTD1	NM_017819	RNA (guanine-9-) methyltransferase domain
XBP1	NM_005080	X-box binding protein 1 isoform XBP1(U)
C2orf62	NM_198559	hypothetical protein LOC375307
MBNL1	NM_207294	muscleblind-like 1 isoform d
ADARB1	NM_015834	RNA-specific adenosine deaminase B1 isoform 3
COX7A2	NM_001865	cytochrome c oxidase subunit VIIa polypeptide 2
AHCYL1	NM_006621	S-adenosylhomocysteine hydrolase-like 1
PHF7	NM_173341	PHD finger protein 7 isoform 2
CDK5	NM_004935	cyclin-dependent kinase 5
NCKIPSD	NM_016453	NCK interacting protein with SH3 domain isoform
SULT2B1	NM_177973	sulfotransferase family, cytosolic, 2B, member 1
PPAT	NM_002703	phosphoribosyl pyrophosphate amidotransferase
MED25	NM_030973	ARC/mediator transcriptional coactivator
CD52	NM_001803	CD52 antigen
WBP4	NM_007187	WW domain-containing binding protein 4
BTBD7	NM_018167	BTB (POZ) domain containing 7 isoform 2
G3BP2	NM_203504	Ras-GTPase activating protein SH3 domain-binding
ZNF594	NM_032530	zinc finger protein 594
SFRS8	NM_004592	splicing factor, arginine/serine-rich 8
C17orf76	NM_001113567	hypothetical protein LOC388341 isoform 1
WDR38	NM_001045476	WD repeat domain 38
OR1J1	NM_001004451	olfactory receptor, family 1, subfamily J,
RFWD2	NM_022457	ring finger and WD repeat domain 2 isoform a
MTMR3	NM_153050	myotubularin-related protein 3 isoform a
BTNL2	NM_019602	butyrophilin-like 2
ZNF76	NM_003427	zinc finger protein 76 (expressed in testis)
